ds;y
02/01/2017;5
03/01/2017;2
04/01/2017;6
05/01/2017;16
07/01/2017;25
08/01/2017;15
09/01/2017;13
10/01/2017;9
11/01/2017;10
12/01/2017;7
13/01/2017;18
14/01/2017;34
15/01/2017;0
16/01/2017;5
17/01/2017;13
18/01/2017;3
19/01/2017;8
20/01/2017;16
21/01/2017;24
22/01/2017;7
23/01/2017;9
24/01/2017;3
25/01/2017;7
26/01/2017;14
27/01/2017;33
28/01/2017;15
29/01/2017;11
30/01/2017;2
31/01/2017;13
01/02/2017;5
02/02/2017;15
03/02/2017;34
04/02/2017;26
05/02/2017;9
06/02/2017;5
07/02/2017;12
08/02/2017;8
09/02/2017;14
10/02/2017;25
11/02/2017;26
12/02/2017;12
13/02/2017;9
14/02/2017;1
15/02/2017;12
16/02/2017;1
17/02/2017;26
18/02/2017;20
19/02/2017;3
20/02/2017;0
21/02/2017;2
22/02/2017;10
23/02/2017;3
24/02/2017;23
25/02/2017;16
26/02/2017;9
27/02/2017;11
28/02/2017;10
01/03/2017;12
02/03/2017;5
03/03/2017;21
04/03/2017;23
05/03/2017;5
06/03/2017;14
07/03/2017;15
08/03/2017;6
09/03/2017;10
10/03/2017;40
11/03/2017;39
12/03/2017;13
13/03/2017;3
14/03/2017;1
15/03/2017;7
16/03/2017;10
17/03/2017;40
18/03/2017;36
19/03/2017;2
20/03/2017;1
21/03/2017;13
22/03/2017;6
23/03/2017;4
24/03/2017;39
25/03/2017;25
26/03/2017;7
27/03/2017;14
28/03/2017;12
29/03/2017;3
30/03/2017;6
31/03/2017;37
01/04/2017;28
02/04/2017;13
03/04/2017;1
04/04/2017;0
05/04/2017;3
06/04/2017;1
07/04/2017;33
08/04/2017;32
09/04/2017;5
10/04/2017;14
11/04/2017;12
12/04/2017;1
13/04/2017;3
14/04/2017;40
15/04/2017;26
18/04/2017;2
19/04/2017;11
20/04/2017;3
21/04/2017;26
22/04/2017;30
24/04/2017;40
26/04/2017;2
27/04/2017;12
28/04/2017;34
29/04/2017;25
30/04/2017;34
02/05/2017;10
03/05/2017;15
04/05/2017;8
05/05/2017;35
06/05/2017;33
07/05/2017;15
08/05/2017;2
09/05/2017;5
10/05/2017;12
11/05/2017;7
12/05/2017;34
13/05/2017;35
14/05/2017;11
15/05/2017;6
16/05/2017;13
17/05/2017;6
18/05/2017;7
19/05/2017;38
20/05/2017;26
21/05/2017;13
22/05/2017;9
23/05/2017;0
24/05/2017;11
25/05/2017;3
26/05/2017;34
27/05/2017;25
28/05/2017;9
29/05/2017;0
30/05/2017;5
31/05/2017;3
01/06/2017;27
03/06/2017;28
04/06/2017;8
05/06/2017;12
06/06/2017;1
07/06/2017;12
08/06/2017;3
09/06/2017;34
10/06/2017;32
11/06/2017;15
12/06/2017;13
13/06/2017;11
14/06/2017;7
15/06/2017;15
16/06/2017;29
17/06/2017;26
18/06/2017;14
19/06/2017;10
20/06/2017;14
21/06/2017;5
22/06/2017;11
23/06/2017;30
24/06/2017;37
25/06/2017;11
26/06/2017;13
27/06/2017;11
28/06/2017;14
29/06/2017;12
30/06/2017;40
01/07/2017;37
02/07/2017;7
03/07/2017;9
04/07/2017;15
05/07/2017;11
06/07/2017;14
07/07/2017;27
08/07/2017;38
09/07/2017;15
10/07/2017;6
11/07/2017;5
12/07/2017;8
13/07/2017;12
14/07/2017;38
15/07/2017;26
16/07/2017;11
17/07/2017;9
18/07/2017;6
19/07/2017;9
20/07/2017;15
21/07/2017;32
22/07/2017;35
23/07/2017;9
24/07/2017;8
25/07/2017;11
26/07/2017;14
27/07/2017;9
28/07/2017;30
29/07/2017;35
30/07/2017;6
31/07/2017;6
01/08/2017;11
02/08/2017;12
03/08/2017;10
04/08/2017;26
05/08/2017;33
06/08/2017;13
07/08/2017;12
08/08/2017;10
09/08/2017;12
10/08/2017;8
11/08/2017;27
12/08/2017;39
13/08/2017;10
14/08/2017;6
15/08/2017;6
16/08/2017;13
17/08/2017;8
18/08/2017;36
19/08/2017;31
20/08/2017;5
21/08/2017;9
22/08/2017;14
23/08/2017;9
24/08/2017;14
25/08/2017;40
26/08/2017;32
27/08/2017;8
28/08/2017;9
29/08/2017;8
30/08/2017;13
31/08/2017;9
01/09/2017;25
02/09/2017;31
03/09/2017;13
04/09/2017;5
05/09/2017;1
06/09/2017;15
07/09/2017;6
08/09/2017;38
09/09/2017;34
10/09/2017;2
11/09/2017;1
12/09/2017;2
13/09/2017;13
14/09/2017;9
15/09/2017;34
16/09/2017;28
17/09/2017;14
18/09/2017;13
19/09/2017;11
20/09/2017;2
21/09/2017;8
22/09/2017;39
23/09/2017;28
24/09/2017;1
25/09/2017;11
26/09/2017;2
27/09/2017;6
28/09/2017;2
29/09/2017;34
30/09/2017;32
01/10/2017;4
02/10/2017;10
03/10/2017;12
04/10/2017;15
05/10/2017;4
06/10/2017;27
07/10/2017;39
08/10/2017;5
09/10/2017;7
10/10/2017;9
11/10/2017;10
12/10/2017;14
13/10/2017;35
14/10/2017;32
15/10/2017;1
16/10/2017;7
17/10/2017;14
18/10/2017;6
19/10/2017;13
20/10/2017;35
21/10/2017;33
22/10/2017;13
23/10/2017;0
24/10/2017;12
25/10/2017;14
26/10/2017;10
27/10/2017;29
28/10/2017;33
29/10/2017;10
30/10/2017;15
31/10/2017;25
02/11/2017;8
03/11/2017;26
04/11/2017;36
05/11/2017;11
06/11/2017;0
07/11/2017;14
08/11/2017;5
09/11/2017;8
10/11/2017;38
11/11/2017;36
12/11/2017;14
13/11/2017;6
14/11/2017;3
15/11/2017;10
16/11/2017;12
17/11/2017;40
18/11/2017;30
19/11/2017;4
20/11/2017;1
21/11/2017;3
22/11/2017;8
23/11/2017;10
24/11/2017;27
25/11/2017;31
26/11/2017;8
27/11/2017;2
28/11/2017;14
29/11/2017;0
30/11/2017;3
01/12/2017;39
02/12/2017;29
03/12/2017;3
04/12/2017;4
05/12/2017;6
06/12/2017;5
07/12/2017;32
09/12/2017;30
10/12/2017;11
11/12/2017;5
12/12/2017;14
13/12/2017;10
14/12/2017;13
15/12/2017;36
16/12/2017;38
17/12/2017;7
18/12/2017;13
19/12/2017;10
20/12/2017;9
21/12/2017;0
22/12/2017;33
23/12/2017;25
24/12/2017;33
27/12/2017;36
28/12/2017;40
29/12/2017;34
30/12/2017;29
31/12/2017;121
02/01/2018;14
03/01/2018;15
04/01/2018;7
05/01/2018;40
07/01/2018;8
08/01/2018;5
09/01/2018;9
10/01/2018;15
11/01/2018;13
12/01/2018;42
13/01/2018;34
14/01/2018;8
15/01/2018;18
16/01/2018;5
17/01/2018;10
18/01/2018;5
19/01/2018;42
20/01/2018;32
21/01/2018;5
22/01/2018;16
23/01/2018;12
24/01/2018;11
25/01/2018;11
26/01/2018;40
27/01/2018;42
28/01/2018;12
29/01/2018;18
30/01/2018;11
31/01/2018;15
01/02/2018;16
02/02/2018;30
03/02/2018;42
04/02/2018;9
05/02/2018;16
06/02/2018;13
07/02/2018;5
08/02/2018;17
09/02/2018;32
10/02/2018;33
11/02/2018;12
12/02/2018;11
13/02/2018;5
14/02/2018;6
15/02/2018;5
16/02/2018;37
17/02/2018;41
18/02/2018;10
19/02/2018;6
20/02/2018;17
21/02/2018;7
22/02/2018;14
23/02/2018;35
24/02/2018;37
25/02/2018;20
