ds;y
03/01/2017;19
04/01/2017;13
05/01/2017;21
07/01/2017;21
08/01/2017;7
10/01/2017;12
11/01/2017;10
12/01/2017;8
13/01/2017;35
14/01/2017;28
15/01/2017;14
17/01/2017;5
18/01/2017;8
19/01/2017;20
20/01/2017;22
21/01/2017;24
22/01/2017;8
24/01/2017;8
25/01/2017;20
26/01/2017;16
27/01/2017;24
28/01/2017;24
29/01/2017;5
31/01/2017;19
01/02/2017;17
02/02/2017;10
03/02/2017;30
04/02/2017;31
05/02/2017;12
07/02/2017;11
08/02/2017;12
09/02/2017;13
10/02/2017;24
11/02/2017;22
12/02/2017;8
15/02/2017;13
16/02/2017;13
17/02/2017;22
18/02/2017;27
19/02/2017;17
21/02/2017;14
22/02/2017;9
23/02/2017;12
24/02/2017;21
25/02/2017;32
26/02/2017;8
27/02/2017;11
28/02/2017;14
01/03/2017;11
02/03/2017;6
03/03/2017;31
04/03/2017;34
05/03/2017;11
07/03/2017;11
08/03/2017;15
09/03/2017;5
10/03/2017;21
11/03/2017;30
12/03/2017;8
14/03/2017;13
15/03/2017;17
16/03/2017;13
17/03/2017;25
18/03/2017;22
19/03/2017;10
21/03/2017;9
22/03/2017;8
23/03/2017;20
24/03/2017;28
25/03/2017;12
26/03/2017;16
28/03/2017;14
29/03/2017;9
30/03/2017;16
31/03/2017;34
01/04/2017;34
02/04/2017;7
04/04/2017;6
05/04/2017;13
06/04/2017;20
07/04/2017;26
08/04/2017;33
09/04/2017;14
11/04/2017;11
12/04/2017;18
13/04/2017;9
14/04/2017;31
15/04/2017;24
18/04/2017;12
19/04/2017;7
20/04/2017;15
21/04/2017;34
22/04/2017;30
23/04/2017;11
26/04/2017;18
27/04/2017;10
28/04/2017;33
29/04/2017;27
30/04/2017;23
02/05/2017;13
03/05/2017;8
04/05/2017;6
05/05/2017;20
06/05/2017;22
07/05/2017;6
09/05/2017;14
10/05/2017;7
11/05/2017;19
12/05/2017;34
13/05/2017;30
14/05/2017;12
16/05/2017;18
17/05/2017;6
18/05/2017;10
19/05/2017;35
20/05/2017;32
21/05/2017;10
23/05/2017;15
24/05/2017;12
25/05/2017;10
26/05/2017;28
27/05/2017;34
28/05/2017;7
30/05/2017;20
31/05/2017;6
01/06/2017;26
03/06/2017;26
04/06/2017;10
06/06/2017;16
07/06/2017;19
08/06/2017;8
09/06/2017;32
10/06/2017;32
11/06/2017;19
13/06/2017;20
14/06/2017;20
15/06/2017;18
16/06/2017;25
17/06/2017;24
18/06/2017;18
20/06/2017;15
21/06/2017;15
22/06/2017;17
23/06/2017;20
24/06/2017;30
25/06/2017;18
27/06/2017;18
28/06/2017;17
29/06/2017;18
30/06/2017;24
01/07/2017;20
02/07/2017;18
04/07/2017;16
05/07/2017;15
06/07/2017;20
07/07/2017;25
08/07/2017;26
09/07/2017;19
11/07/2017;20
12/07/2017;17
13/07/2017;18
14/07/2017;34
15/07/2017;23
16/07/2017;18
18/07/2017;17
19/07/2017;18
20/07/2017;15
21/07/2017;29
22/07/2017;24
23/07/2017;19
25/07/2017;15
26/07/2017;19
27/07/2017;17
28/07/2017;26
29/07/2017;27
30/07/2017;19
01/08/2017;16
02/08/2017;15
03/08/2017;19
04/08/2017;25
05/08/2017;20
06/08/2017;20
08/08/2017;17
09/08/2017;19
10/08/2017;18
11/08/2017;35
12/08/2017;27
13/08/2017;18
16/08/2017;15
17/08/2017;18
18/08/2017;35
19/08/2017;34
20/08/2017;15
22/08/2017;17
23/08/2017;15
24/08/2017;20
25/08/2017;32
26/08/2017;32
27/08/2017;19
29/08/2017;19
30/08/2017;18
31/08/2017;15
01/09/2017;23
02/09/2017;27
03/09/2017;20
05/09/2017;15
06/09/2017;15
07/09/2017;19
08/09/2017;25
09/09/2017;33
10/09/2017;6
12/09/2017;15
13/09/2017;13
14/09/2017;5
15/09/2017;28
16/09/2017;29
17/09/2017;16
19/09/2017;8
20/09/2017;8
21/09/2017;16
22/09/2017;35
23/09/2017;26
24/09/2017;7
26/09/2017;19
27/09/2017;12
28/09/2017;19
29/09/2017;29
30/09/2017;30
01/10/2017;9
03/10/2017;16
04/10/2017;5
05/10/2017;14
06/10/2017;27
07/10/2017;24
08/10/2017;20
10/10/2017;8
11/10/2017;9
12/10/2017;20
13/10/2017;31
14/10/2017;28
15/10/2017;10
17/10/2017;14
18/10/2017;13
19/10/2017;13
20/10/2017;26
21/10/2017;25
22/10/2017;18
24/10/2017;9
25/10/2017;18
26/10/2017;7
27/10/2017;20
28/10/2017;30
29/10/2017;10
31/10/2017;28
02/11/2017;7
03/11/2017;28
04/11/2017;28
05/11/2017;7
07/11/2017;6
08/11/2017;13
09/11/2017;9
10/11/2017;33
